,bins,qel_cc_p,qel_nc_p,qel_nc_n,res_cc_p_1232P33,res_cc_n_1232P33,res_cc_p_1535S11,res_cc_n_1535S11,res_cc_p_1520D13,res_cc_n_1520D13,res_cc_p_1650S11,res_cc_n_1650S11,res_cc_p_1700D13,res_cc_n_1700D13,res_cc_p_1675D15,res_cc_n_1675D15,res_cc_p_1620S31,res_cc_n_1620S31,res_cc_p_1700D33,res_cc_n_1700D33,res_cc_p_1440P11,res_cc_n_1440P11,res_cc_p_1600P33,res_cc_n_1600P33,res_cc_p_1720P13,res_cc_n_1720P13,res_cc_p_1680F15,res_cc_n_1680F15,res_cc_p_1910P31,res_cc_n_1910P31,res_cc_p_1920P33,res_cc_n_1920P33,res_cc_p_1905F35,res_cc_n_1905F35,res_cc_p_1950F37,res_cc_n_1950F37,res_cc_p_1710P11,res_cc_n_1710P11,res_nc_p_1232P33,res_nc_n_1232P33,res_nc_p_1535S11,res_nc_n_1535S11,res_nc_p_1520D13,res_nc_n_1520D13,res_nc_p_1650S11,res_nc_n_1650S11,res_nc_p_1700D13,res_nc_n_1700D13,res_nc_p_1675D15,res_nc_n_1675D15,res_nc_p_1620S31,res_nc_n_1620S31,res_nc_p_1700D33,res_nc_n_1700D33,res_nc_p_1440P11,res_nc_n_1440P11,res_nc_p_1600P33,res_nc_n_1600P33,res_nc_p_1720P13,res_nc_n_1720P13,res_nc_p_1680F15,res_nc_n_1680F15,res_nc_p_1910P31,res_nc_n_1910P31,res_nc_p_1920P33,res_nc_n_1920P33,res_nc_p_1905F35,res_nc_n_1905F35,res_nc_p_1950F37,res_nc_n_1950F37,res_nc_p_1710P11,res_nc_n_1710P11,dis_cc_p_sbarsea,dis_cc_p_dbarsea,dis_cc_p_uval,dis_cc_p_usea,dis_cc_n_sbarsea,dis_cc_n_dbarsea,dis_cc_n_uval,dis_cc_n_usea,dis_nc_p_sbarsea,dis_nc_p_ubarsea,dis_nc_p_dbarsea,dis_nc_p_dval,dis_nc_p_dsea,dis_nc_p_uval,dis_nc_p_usea,dis_nc_p_ssea,dis_nc_n_sbarsea,dis_nc_n_ubarsea,dis_nc_n_dbarsea,dis_nc_n_dval,dis_nc_n_dsea,dis_nc_n_uval,dis_nc_n_usea,dis_nc_n_ssea,coh_pion_cc,coh_pion_nc,dis_cc_p_sbarsea_charm,dis_cc_p_dbarsea_charm,dis_cc_n_sbarsea_charm,dis_cc_n_dbarsea_charm,ve_ccncmix,imdanh_cc,qel_cc_n_strange3112,qel_cc_p_strange3122,qel_cc_p_strange3212,mec_cc_np,mec_cc_pp,mec_nc_nn,mec_nc_np,mec_nc_pp,res_cc_p,res_cc_n,res_nc_p,res_nc_n,dis_cc,dis_nc,dis_cc_p,dis_cc_n,dis_nc_p,dis_nc_n,dis_cc_charm,dis_nc_charm,dis_cc_p_charm,dis_cc_n_charm,dis_nc_p_charm,dis_nc_n_charm,mec_cc,mec_nc,coh_cc,coh_nc,coh,glres_cc,glres_nc,phres_cc,tot_cc,tot_cc_p,tot_cc_n,tot_nc,tot_nc_p,tot_nc_n
0,0.01,0.0,4.3841189857455005e-42,3.982077830731254e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.982838793635651e-43,0.0,0.0,0.0,0.0,0.0,0.0,1.1072339925784742e-43,8.857871940627794e-43,1.1072339925784742e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1072339925784741e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.473430809055229e-42,4.3841189857455005e-42,3.982077830731254e-42
1,0.02,0.0,2.505610604740952e-41,2.2978079497966443e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4165884598124492e-42,0.0,0.0,0.0,0.0,0.0,0.0,6.360202174109062e-43,5.0881617392872505e-42,6.360202174109062e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.360202174109064e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.439438771948503e-41,2.505610604740952e-41,2.2978079497966443e-41
2,0.03,0.0,6.656258661971817e-41,5.988147694527389e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1352830066676747e-42,0.0,0.0,0.0,0.0,0.0,0.0,1.6726343051997857e-42,1.3381074441598288e-41,1.6726343051997857e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.672634305199786e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4317040661698991e-40,6.656258661971817e-41,5.988147694527389e-41
3,0.04,0.0,1.3247235507166587e-40,1.1703715597039698e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8540819541477764e-42,0.0,0.0,0.0,0.0,0.0,0.0,3.297581252413657e-42,2.6380650019309263e-41,3.297581252413657e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2975812524136577e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.824853235661994e-40,1.3247235507166587e-40,1.1703715597039698e-40
4,0.05,0.0,2.2461607982545046e-40,1.9543540066905475e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.572923808770027e-42,0.0,0.0,0.0,0.0,0.0,0.0,5.5472579719350134e-42,4.437806377548012e-41,5.5472579719350134e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.547257971935014e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7552406021385535e-40,2.2461607982545046e-40,1.9543540066905475e-40
5,0.060000000000000005,0.0,3.4347883753655153e-40,2.950491160440593e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2917872971960886e-42,0.0,0.0,0.0,0.0,0.0,0.0,8.427073830428304e-42,6.741659064342645e-41,8.427073830428304e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.427073830428306e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.227986918848939e-40,3.4347883753655153e-40,2.950491160440593e-40
6,0.06999999999999999,6.817827866088255e-42,4.884485688656015e-40,4.150646979916518e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.010663384760952e-42,0.0,0.0,0.0,0.0,1.3365280907529878e-42,3.404102329675822e-43,1.1917801586108483e-41,9.53424126888679e-41,1.1917801586108483e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67693832372057e-42,1.1917801586108486e-40,0.0,0.0,0.0,0.0,0.0,0.0,8.494766189808825e-42,6.817827866088255e-42,0.0,1.0226912827183383e-39,4.884485688656015e-40,4.150646979916518e-40
7,0.08,2.0892213256991218e-41,6.581379470555456e-40,5.541622907862189e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72954730782187e-42,0.0,0.0,0.0,0.0,4.095590332349009e-42,1.0431362189995086e-42,1.5983529438973365e-41,1.2786823551178696e-40,1.5983529438973365e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.138726551348517e-42,1.5983529438973367e-40,0.0,0.0,0.0,0.0,0.0,0.0,2.6030939808339735e-41,2.0892213256991218e-41,0.0,1.3721355322314985e-39,6.581379470555456e-40,5.541622907862189e-40
8,0.09,5.579108578458256e-41,8.505750780273163e-40,7.106570114079552e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.448436543151901e-42,0.0,0.0,0.0,0.0,1.0813861224614675e-41,2.5322728242785313e-42,2.0576009339675296e-41,1.6460807471740245e-40,2.0576009339675296e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3346134048893207e-41,2.05760093396753e-40,0.0,0.0,0.0,0.0,0.0,0.0,6.913721983347576e-41,5.579108578458256e-41,0.0,1.766992182832025e-39,8.505750780273163e-40,7.106570114079552e-40
9,0.09999999999999999,1.4725970018569911e-40,1.0634550262643791e-39,8.827123978269904e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.167329424852399e-42,0.0,0.0,0.0,0.0,2.858341533827207e-41,6.417774136516663e-42,2.5640789821271205e-41,2.051263185701697e-40,2.5640789821271205e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5001189474788736e-41,2.5640789821271205e-40,0.0,0.0,0.0,0.0,0.0,0.0,1.8226088966048784e-40,1.4725970018569911e-40,0.0,2.2025753223040816e-39,1.0634550262643791e-39,8.827123978269904e-40
