Process is Muon Signal   - Flux is muon neutrinos per proton per square cm 
1.000000e-02   0.000000e+00   0.000000e+00
3.000000e-02   0.000000e+00   0.000000e+00
5.000000e-02   7.040797e-19   7.040797e-19
7.000000e-02   7.040797e-19   7.040797e-19
9.000000e-02   0.000000e+00   0.000000e+00
1.100000e-01   0.000000e+00   0.000000e+00
1.300000e-01   0.000000e+00   0.000000e+00
1.500000e-01   7.040797e-19   7.040797e-19
1.700000e-01   0.000000e+00   0.000000e+00
1.900000e-01   0.000000e+00   0.000000e+00
2.100000e-01   7.040797e-19   7.040797e-19
2.300000e-01   7.040797e-19   7.040797e-19
2.500000e-01   2.816319e-18   1.408159e-18
2.700000e-01   3.520399e-18   1.574370e-18
2.900000e-01   0.000000e+00   0.000000e+00
3.100000e-01   0.000000e+00   0.000000e+00
3.300000e-01   0.000000e+00   0.000000e+00
3.500000e-01   7.040797e-19   7.040797e-19
3.700000e-01   3.520399e-18   1.574370e-18
3.900000e-01   0.000000e+00   0.000000e+00
4.100000e-01   0.000000e+00   0.000000e+00
4.300000e-01   4.928558e-18   1.862820e-18
4.500000e-01   2.112239e-18   1.219502e-18
4.700000e-01   4.928558e-18   1.862820e-18
4.900000e-01   4.928558e-18   1.862820e-18
5.100000e-01   2.816319e-18   1.408159e-18
5.300000e-01   3.520399e-18   1.574370e-18
5.500000e-01   2.816319e-18   1.408159e-18
5.700000e-01   0.000000e+00   0.000000e+00
5.900000e-01   1.408159e-18   9.957191e-19
6.100000e-01   2.816319e-18   1.408159e-18
6.300000e-01   2.816319e-18   1.408159e-18
6.500000e-01   5.632638e-18   1.991438e-18
6.700000e-01   4.928558e-18   1.862820e-18
6.900000e-01   3.520399e-18   1.574370e-18
7.100000e-01   3.520399e-18   1.574370e-18
7.300000e-01   5.632638e-18   1.991438e-18
7.500000e-01   7.040797e-18   2.226496e-18
7.700000e-01   5.632638e-18   1.991438e-18
7.900000e-01   1.408159e-18   9.957191e-19
8.100000e-01   6.336718e-18   2.112239e-18
8.300000e-01   7.040797e-18   2.226496e-18
8.500000e-01   9.857116e-18   2.634425e-18
8.700000e-01   3.520399e-18   1.574370e-18
8.900000e-01   8.448957e-18   2.439004e-18
9.100000e-01   1.056120e-17   2.726889e-18
9.300000e-01   9.857116e-18   2.634425e-18
9.500000e-01   4.928558e-18   1.862820e-18
9.700000e-01   7.040797e-18   2.226496e-18
9.900000e-01   8.448957e-18   2.439004e-18
1.010000e+00   1.056120e-17   2.726889e-18
1.030000e+00   8.448957e-18   2.439004e-18
1.050000e+00   1.056120e-17   2.726889e-18
1.070000e+00   1.408159e-17   3.148740e-18
1.090000e+00   1.337751e-17   3.069012e-18
1.110000e+00   2.112239e-17   3.856403e-18
1.130000e+00   1.267344e-17   2.987157e-18
1.150000e+00   1.267344e-17   2.987157e-18
1.170000e+00   7.744877e-18   2.335168e-18
1.190000e+00   9.153036e-18   2.538596e-18
1.210000e+00   9.857116e-18   2.634425e-18
1.230000e+00   1.830607e-17   3.590116e-18
1.250000e+00   1.337751e-17   3.069012e-18
1.270000e+00   1.760199e-17   3.520399e-18
1.290000e+00   1.689791e-17   3.449272e-18
1.310000e+00   1.689791e-17   3.449272e-18
1.330000e+00   1.408159e-17   3.148740e-18
1.350000e+00   1.619383e-17   3.376648e-18
1.370000e+00   1.830607e-17   3.590116e-18
1.390000e+00   1.478567e-17   3.226499e-18
1.410000e+00   1.548975e-17   3.302427e-18
1.430000e+00   2.393871e-17   4.105455e-18
1.450000e+00   1.901015e-17   3.658506e-18
1.470000e+00   2.675503e-17   4.340239e-18
1.490000e+00   1.901015e-17   3.658506e-18
1.510000e+00   2.041831e-17   3.791585e-18
1.530000e+00   2.393871e-17   4.105455e-18
1.550000e+00   2.323463e-17   4.044630e-18
1.570000e+00   1.971423e-17   3.725640e-18
1.590000e+00   2.112239e-17   3.856403e-18
1.610000e+00   1.830607e-17   3.590116e-18
1.630000e+00   1.760199e-17   3.520399e-18
1.650000e+00   1.901015e-17   3.658506e-18
1.670000e+00   2.886727e-17   4.508310e-18
1.690000e+00   1.971423e-17   3.725640e-18
1.710000e+00   2.816319e-17   4.452991e-18
1.730000e+00   2.041831e-17   3.791585e-18
1.750000e+00   3.097951e-17   4.670337e-18
1.770000e+00   2.886727e-17   4.508310e-18
1.790000e+00   2.323463e-17   4.044630e-18
1.810000e+00   2.605095e-17   4.282750e-18
1.830000e+00   2.745911e-17   4.396976e-18
1.850000e+00   3.097951e-17   4.670337e-18
1.870000e+00   3.168359e-17   4.723110e-18
1.890000e+00   3.027543e-17   4.616960e-18
1.910000e+00   3.449991e-17   4.928558e-18
1.930000e+00   2.112239e-17   3.856403e-18
1.950000e+00   2.886727e-17   4.508310e-18
1.970000e+00   2.041831e-17   3.791585e-18
1.990000e+00   2.605095e-17   4.282750e-18
