Process is Muon Signal   - Flux is electron neutrinos per proton per square cm 
1.000000e-02   0.000000e+00   0.000000e+00
3.000000e-02   7.098411e-19   7.098411e-19
5.000000e-02   1.419682e-18   1.003867e-18
7.000000e-02   0.000000e+00   0.000000e+00
9.000000e-02   0.000000e+00   0.000000e+00
1.100000e-01   2.129523e-18   1.229481e-18
1.300000e-01   7.098411e-19   7.098411e-19
1.500000e-01   0.000000e+00   0.000000e+00
1.700000e-01   7.098411e-19   7.098411e-19
1.900000e-01   0.000000e+00   0.000000e+00
2.100000e-01   1.419682e-18   1.003867e-18
2.300000e-01   7.098411e-19   7.098411e-19
2.500000e-01   1.419682e-18   1.003867e-18
2.700000e-01   1.419682e-18   1.003867e-18
2.900000e-01   7.098411e-19   7.098411e-19
3.100000e-01   4.968887e-18   1.878063e-18
3.300000e-01   2.129523e-18   1.229481e-18
3.500000e-01   4.259046e-18   1.738748e-18
3.700000e-01   3.549205e-18   1.587253e-18
3.900000e-01   4.968887e-18   1.878063e-18
4.100000e-01   7.098411e-18   2.244715e-18
4.300000e-01   4.259046e-18   1.738748e-18
4.500000e-01   5.678728e-18   2.007734e-18
4.700000e-01   4.968887e-18   1.878063e-18
4.900000e-01   5.678728e-18   2.007734e-18
5.100000e-01   7.098411e-18   2.244715e-18
5.300000e-01   7.098411e-18   2.244715e-18
5.500000e-01   4.259046e-18   1.738748e-18
5.700000e-01   3.549205e-18   1.587253e-18
5.900000e-01   8.518093e-18   2.458962e-18
6.100000e-01   7.808252e-18   2.354276e-18
6.300000e-01   1.206730e-17   2.926750e-18
6.500000e-01   1.135746e-17   2.839364e-18
6.700000e-01   1.206730e-17   2.926750e-18
6.900000e-01   1.206730e-17   2.926750e-18
7.100000e-01   1.206730e-17   2.926750e-18
7.300000e-01   1.277714e-17   3.011601e-18
7.500000e-01   1.490666e-17   3.252900e-18
7.700000e-01   1.277714e-17   3.011601e-18
7.900000e-01   1.277714e-17   3.011601e-18
8.100000e-01   1.490666e-17   3.252900e-18
8.300000e-01   2.129523e-17   3.887960e-18
8.500000e-01   1.348698e-17   3.094125e-18
8.700000e-01   1.348698e-17   3.094125e-18
8.900000e-01   1.277714e-17   3.011601e-18
9.100000e-01   1.064762e-17   2.749203e-18
9.300000e-01   1.632634e-17   3.404278e-18
9.500000e-01   1.916571e-17   3.688442e-18
9.700000e-01   1.845587e-17   3.619493e-18
9.900000e-01   1.064762e-17   2.749203e-18
1.010000e+00   1.774603e-17   3.549205e-18
1.030000e+00   1.561650e-17   3.329450e-18
1.050000e+00   1.064762e-17   2.749203e-18
1.070000e+00   1.845587e-17   3.619493e-18
1.090000e+00   2.271491e-17   4.015467e-18
1.110000e+00   2.129523e-17   3.887960e-18
1.130000e+00   2.271491e-17   4.015467e-18
1.150000e+00   2.058539e-17   3.822611e-18
1.170000e+00   3.123301e-17   4.708553e-18
1.190000e+00   1.845587e-17   3.619493e-18
1.210000e+00   2.981332e-17   4.600296e-18
1.230000e+00   2.271491e-17   4.015467e-18
1.250000e+00   2.271491e-17   4.015467e-18
1.270000e+00   3.265269e-17   4.814376e-18
1.290000e+00   2.271491e-17   4.015467e-18
1.310000e+00   2.129523e-17   3.887960e-18
1.330000e+00   2.697396e-17   4.375754e-18
1.350000e+00   3.549205e-17   5.019334e-18
1.370000e+00   2.626412e-17   4.317795e-18
1.390000e+00   3.407237e-17   4.917923e-18
1.410000e+00   3.265269e-17   4.814376e-18
1.430000e+00   3.123301e-17   4.708553e-18
1.450000e+00   3.336253e-17   4.866425e-18
1.470000e+00   2.413460e-17   4.139049e-18
1.490000e+00   3.336253e-17   4.866425e-18
1.510000e+00   3.123301e-17   4.708553e-18
1.530000e+00   3.478221e-17   4.968887e-18
1.550000e+00   2.626412e-17   4.317795e-18
1.570000e+00   3.620189e-17   5.069279e-18
1.590000e+00   3.194285e-17   4.761759e-18
1.610000e+00   3.265269e-17   4.814376e-18
1.630000e+00   4.471999e-17   5.634189e-18
1.650000e+00   4.755935e-17   5.810299e-18
1.670000e+00   4.684951e-17   5.766776e-18
1.690000e+00   4.401015e-17   5.589294e-18
1.710000e+00   5.110856e-17   6.023201e-18
1.730000e+00   3.904126e-17   5.264322e-18
1.750000e+00   4.046094e-17   5.359182e-18
1.770000e+00   3.833142e-17   5.216245e-18
1.790000e+00   4.330030e-17   5.544036e-18
1.810000e+00   4.613967e-17   5.722922e-18
1.830000e+00   3.478221e-17   4.968887e-18
1.850000e+00   3.265269e-17   4.814376e-18
1.870000e+00   4.117078e-17   5.405988e-18
1.890000e+00   3.620189e-17   5.069279e-18
1.910000e+00   4.542983e-17   5.678728e-18
1.930000e+00   4.330030e-17   5.544036e-18
1.950000e+00   4.613967e-17   5.722922e-18
1.970000e+00   5.110856e-17   6.023201e-18
1.990000e+00   4.471999e-17   5.634189e-18
