Process is Muon Signal   - Flux is muon neutrinos per proton per square cm 
3.000000e-02   0.000000e+00   0.000000e+00
9.000000e-02   2.544564e-17   1.469104e-17
1.500000e-01   2.544564e-17   1.469104e-17
2.100000e-01   5.937315e-17   2.244094e-17
2.700000e-01   9.330066e-17   2.813121e-17
3.300000e-01   1.017825e-16   2.938209e-17
3.900000e-01   1.357101e-16   3.392751e-17
4.500000e-01   2.629382e-16   4.722510e-17
5.100000e-01   2.799020e-16   4.872468e-17
5.700000e-01   3.562389e-16   5.496886e-17
6.300000e-01   3.732027e-16   5.626242e-17
6.900000e-01   4.834671e-16   6.403678e-17
7.500000e-01   4.071302e-16   5.876418e-17
8.100000e-01   6.361409e-16   7.345522e-17
8.700000e-01   6.531047e-16   7.442818e-17
9.300000e-01   6.022134e-16   7.146958e-17
9.900000e-01   7.633691e-16   8.046617e-17
1.050000e+00   8.905973e-16   8.691339e-17
1.110000e+00   6.870322e-16   7.633691e-17
1.170000e+00   9.499704e-16   8.976377e-17
1.230000e+00   7.972966e-16   8.223486e-17
1.290000e+00   8.566697e-16   8.524182e-17
1.350000e+00   1.051753e-15   9.445020e-17
1.410000e+00   9.584523e-16   9.016361e-17
1.470000e+00   1.026307e-15   9.330066e-17
1.530000e+00   1.060235e-15   9.483029e-17
1.590000e+00   1.051753e-15   9.445020e-17
1.650000e+00   1.026307e-15   9.330066e-17
1.710000e+00   1.204427e-15   1.010732e-16
1.770000e+00   1.255318e-15   1.031865e-16
1.830000e+00   1.119608e-15   9.744937e-17
1.890000e+00   1.255318e-15   1.031865e-16
1.950000e+00   1.297727e-15   1.049150e-16
2.010000e+00   1.204427e-15   1.010732e-16
2.070000e+00   1.399510e-15   1.089517e-16
2.130000e+00   1.424956e-15   1.099377e-16
2.190000e+00   1.221391e-15   1.017825e-16
2.250000e+00   1.382546e-15   1.082894e-16
2.310000e+00   1.119608e-15   9.744937e-17
2.370000e+00   1.323173e-15   1.059386e-16
2.430000e+00   1.297727e-15   1.049150e-16
2.490000e+00   1.221391e-15   1.017825e-16
2.550000e+00   1.424956e-15   1.099377e-16
2.610000e+00   1.246836e-15   1.028373e-16
2.670000e+00   1.162017e-15   9.927784e-17
2.730000e+00   1.221391e-15   1.017825e-16
2.790000e+00   1.094162e-15   9.633562e-17
2.850000e+00   1.221391e-15   1.017825e-16
2.910000e+00   9.754160e-16   9.095801e-17
2.970000e+00   1.229872e-15   1.021353e-16
3.030000e+00   1.111126e-15   9.707954e-17
3.090000e+00   1.085680e-15   9.596150e-17
3.150000e+00   1.085680e-15   9.596150e-17
3.210000e+00   9.923798e-16   9.174554e-17
3.270000e+00   1.009344e-15   9.252637e-17
3.330000e+00   9.923798e-16   9.174554e-17
3.390000e+00   1.009344e-15   9.252637e-17
3.450000e+00   8.651516e-16   8.566277e-17
3.510000e+00   8.057785e-16   8.267113e-17
3.570000e+00   8.142603e-16   8.310510e-17
3.630000e+00   7.633691e-16   8.046617e-17
3.690000e+00   6.785503e-16   7.586423e-17
3.750000e+00   7.379234e-16   7.911370e-17
3.810000e+00   6.022134e-16   7.146958e-17
3.870000e+00   4.495396e-16   6.174901e-17
3.930000e+00   5.089127e-16   6.570035e-17
3.990000e+00   3.816845e-16   5.689817e-17
4.050000e+00   4.325758e-16   6.057273e-17
4.110000e+00   4.071302e-16   5.876418e-17
4.170000e+00   3.732027e-16   5.626242e-17
4.230000e+00   3.647208e-16   5.561940e-17
4.290000e+00   2.290107e-16   4.407313e-17
4.350000e+00   1.696376e-16   3.793211e-17
4.410000e+00   2.290107e-16   4.407313e-17
4.470000e+00   2.544564e-16   4.645716e-17
4.530000e+00   1.526738e-16   3.598556e-17
4.590000e+00   2.120470e-16   4.240939e-17
4.650000e+00   1.526738e-16   3.598556e-17
4.710000e+00   7.633691e-17   2.544564e-17
4.770000e+00   5.937315e-17   2.244094e-17
4.830000e+00   3.392751e-17   1.696376e-17
4.890000e+00   5.089127e-17   2.077627e-17
4.950000e+00   5.937315e-17   2.244094e-17
5.010000e+00   8.481879e-18   8.481879e-18
5.070000e+00   0.000000e+00   0.000000e+00
5.130000e+00   8.481879e-18   8.481879e-18
5.190000e+00   8.481879e-18   8.481879e-18
5.250000e+00   0.000000e+00   0.000000e+00
5.310000e+00   0.000000e+00   0.000000e+00
5.370000e+00   0.000000e+00   0.000000e+00
5.430000e+00   0.000000e+00   0.000000e+00
5.490000e+00   0.000000e+00   0.000000e+00
5.550000e+00   0.000000e+00   0.000000e+00
5.610000e+00   0.000000e+00   0.000000e+00
5.670000e+00   0.000000e+00   0.000000e+00
5.730000e+00   0.000000e+00   0.000000e+00
5.790000e+00   0.000000e+00   0.000000e+00
5.850000e+00   0.000000e+00   0.000000e+00
5.910000e+00   0.000000e+00   0.000000e+00
5.970000e+00   0.000000e+00   0.000000e+00
