Process is Muon Signal   - Flux is electron neutrinos per proton per square cm 
3.000000e-02   0.000000e+00   0.000000e+00
9.000000e-02   8.414838e-18   8.414838e-18
1.500000e-01   3.365935e-17   1.682968e-17
2.100000e-01   5.890386e-17   2.226357e-17
2.700000e-01   1.178077e-16   3.148544e-17
3.300000e-01   2.608600e-16   4.685183e-17
3.900000e-01   3.281787e-16   5.255064e-17
4.500000e-01   3.281787e-16   5.255064e-17
5.100000e-01   4.544012e-16   6.183618e-17
5.700000e-01   5.133051e-16   6.572198e-17
6.300000e-01   5.890386e-16   7.040358e-17
6.900000e-01   7.489205e-16   7.938542e-17
7.500000e-01   8.414838e-16   8.414838e-17
8.100000e-01   8.246541e-16   8.330264e-17
8.700000e-01   9.677063e-16   9.023908e-17
9.300000e-01   9.172173e-16   8.785348e-17
9.900000e-01   9.003876e-16   8.704376e-17
1.050000e+00   9.845360e-16   9.102039e-17
1.110000e+00   1.110759e-15   9.667912e-17
1.170000e+00   1.304300e-15   1.047639e-16
1.230000e+00   1.169662e-15   9.920947e-17
1.290000e+00   1.346374e-15   1.064402e-16
1.350000e+00   1.388448e-15   1.080905e-16
1.410000e+00   1.405278e-15   1.087437e-16
1.470000e+00   1.514671e-15   1.128969e-16
1.530000e+00   1.481011e-15   1.116354e-16
1.590000e+00   1.565160e-15   1.147631e-16
1.650000e+00   1.380033e-15   1.077625e-16
1.710000e+00   1.287470e-15   1.040858e-16
1.770000e+00   1.455767e-15   1.106799e-16
1.830000e+00   1.337959e-15   1.061071e-16
1.890000e+00   1.506256e-15   1.125829e-16
1.950000e+00   1.253811e-15   1.027162e-16
2.010000e+00   1.455767e-15   1.106799e-16
2.070000e+00   1.253811e-15   1.027162e-16
2.130000e+00   1.396863e-15   1.084176e-16
2.190000e+00   1.438937e-15   1.100383e-16
2.250000e+00   1.438937e-15   1.100383e-16
2.310000e+00   1.136003e-15   9.777158e-17
2.370000e+00   1.287470e-15   1.040858e-16
2.430000e+00   1.279055e-15   1.037451e-16
2.490000e+00   1.127588e-15   9.740879e-17
2.550000e+00   1.136003e-15   9.777158e-17
2.610000e+00   1.127588e-15   9.740879e-17
2.670000e+00   1.144418e-15   9.813303e-17
2.730000e+00   1.035025e-15   9.332506e-17
2.790000e+00   1.009781e-15   9.217993e-17
2.850000e+00   1.018195e-15   9.256321e-17
2.910000e+00   1.009781e-15   9.217993e-17
2.970000e+00   8.162393e-16   8.287654e-17
3.030000e+00   8.583134e-16   8.498569e-17
3.090000e+00   6.731870e-16   7.526460e-17
3.150000e+00   7.909947e-16   8.158488e-17
3.210000e+00   6.731870e-16   7.526460e-17
3.270000e+00   7.320909e-16   7.848838e-17
3.330000e+00   6.479425e-16   7.383990e-17
3.390000e+00   5.385496e-16   6.731870e-17
3.450000e+00   4.964754e-16   6.463559e-17
3.510000e+00   4.964754e-16   6.463559e-17
3.570000e+00   3.954974e-16   5.768922e-17
3.630000e+00   3.618380e-16   5.517978e-17
3.690000e+00   4.375716e-16   6.068026e-17
3.750000e+00   3.365935e-16   5.322011e-17
3.810000e+00   4.123270e-16   5.890386e-17
3.870000e+00   1.851264e-16   3.946909e-17
3.930000e+00   2.356155e-16   4.452714e-17
3.990000e+00   2.861045e-16   4.906651e-17
4.050000e+00   1.767116e-16   3.856163e-17
4.110000e+00   1.430522e-16   3.469526e-17
4.170000e+00   1.430522e-16   3.469526e-17
4.230000e+00   1.682968e-16   3.763230e-17
4.290000e+00   1.178077e-16   3.148544e-17
4.350000e+00   6.731870e-17   2.380076e-17
4.410000e+00   8.414838e-17   2.661005e-17
4.470000e+00   4.207419e-17   1.881615e-17
4.530000e+00   4.207419e-17   1.881615e-17
4.590000e+00   4.207419e-17   1.881615e-17
4.650000e+00   1.682968e-17   1.190038e-17
4.710000e+00   1.682968e-17   1.190038e-17
4.770000e+00   1.682968e-17   1.190038e-17
4.830000e+00   0.000000e+00   0.000000e+00
4.890000e+00   0.000000e+00   0.000000e+00
4.950000e+00   8.414838e-18   8.414838e-18
5.010000e+00   0.000000e+00   0.000000e+00
5.070000e+00   0.000000e+00   0.000000e+00
5.130000e+00   0.000000e+00   0.000000e+00
5.190000e+00   8.414838e-18   8.414838e-18
5.250000e+00   0.000000e+00   0.000000e+00
5.310000e+00   0.000000e+00   0.000000e+00
5.370000e+00   0.000000e+00   0.000000e+00
5.430000e+00   0.000000e+00   0.000000e+00
5.490000e+00   0.000000e+00   0.000000e+00
5.550000e+00   0.000000e+00   0.000000e+00
5.610000e+00   0.000000e+00   0.000000e+00
5.670000e+00   0.000000e+00   0.000000e+00
5.730000e+00   0.000000e+00   0.000000e+00
5.790000e+00   0.000000e+00   0.000000e+00
5.850000e+00   0.000000e+00   0.000000e+00
5.910000e+00   0.000000e+00   0.000000e+00
5.970000e+00   0.000000e+00   0.000000e+00
